face_1,face_2,face_3,house_1,house_2,house_3,tool_1,tool_2,tool_3
0.0,0.0,0.0,0.0,0.02293244,0.0,0.0,0.0,0.0
1.5620601,2.115813,3.240573,0.45896983,0.0,1.0445588,0.0,0.0,0.0
0.0,0.0,0.0,0.9145021,0.0051862746,0.40798914,0.0,0.0,0.0
0.0,0.0,0.0,1.0703571,1.0274658,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.11733517,0.0,0.0,0.0
0.0,2.0495372,2.2286506,0.0,0.0,0.0,2.6652584,0.98788035,0.78942
0.0,0.0,0.0,2.5376267,0.90290725,0.0,0.0,0.0,0.0
0.33729345,0.054723945,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9172537,0.31135646,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.3337764,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17786567,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.33126405,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.07225899,0.7530658,1.4538814
0.0,0.04615445,0.0,0.121184245,1.5650657,0.0,1.3459258,0.0,4.705463
1.6845195,0.11357398,0.76490444,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.43130562,0.0,0.1553382,0.07705373,0.3462314
0.0,0.0,0.0,1.7980251,1.317404,1.292683,0.0,0.0,0.0
0.0,0.0,0.0,0.38216588,0.0,0.0,0.0,0.0,0.0
0.0,1.1417667,0.38129076,0.0,0.0,2.9035304,0.0,0.0,0.0
0.07736593,0.40077546,0.107816495,0.0,0.0,0.0,0.0,0.0,0.0
0.16191232,0.0,0.0,0.6047081,0.0,0.0,0.0,0.0,0.34013417
0.1628254,1.1912949,3.501487,0.0,0.0,0.0,0.0,0.0,0.0
